,County,State,Price,Population
0,Los Angeles County,CA,874504,9721138
1,Cook County,IL,310097,5109292
2,Harris County,TX,282195,4780913
3,Maricopa County,AZ,474833,4551524
4,San Diego County,CA,947773,3276208
5,Orange County,CA,1129413,3151184
6,Kings County,NY,932305,2590516
7,Miami-Dade County,FL,560557,2673837
8,Dallas County,TX,317372,2600840
9,Riverside County,CA,593438,2473902
10,Queens County,NY,791021,2278029
11,King County,WA,878012,2266789
12,Clark County,NV,422424,2322985
13,San Bernardino County,CA,523531,2193656
14,Tarrant County,TX,324631,2154595
15,Bexar County,TX,266475,2059530
16,Santa Clara County,CA,1613726,1870945
17,Broward County,FL,530869,1947026
18,Wayne County,MI,153251,1757043
19,Alameda County,CA,1147280,1628997
20,New York County,NY,1420990,1596273
21,Middlesex County,MA,789828,1617105
22,Philadelphia County,PA,209746,1567258
23,Sacramento County,CA,523276,1584169
24,Suffolk County,NY,616930,1525465
25,Palm Beach County,FL,558236,1518477
26,Bronx County,NY,621918,1379946
27,Hillsborough County,FL,397196,1513301
28,Orange County,FL,427223,1452726
29,Nassau County,NY,718672,1383726
30,Franklin County,OH,297574,1321820
31,Oakland County,MI,343231,1269431
32,Hennepin County,MN,384985,1260121
33,Travis County,TX,522829,1326436
34,Cuyahoga County,OH,195394,1236041
35,Allegheny County,PA,216425,1233253
36,Salt Lake County,UT,554499,1186257
37,Contra Costa County,CA,840738,1156966
38,Fairfax County,VA,742834,1138331
39,Wake County,NC,481683,1175021
40,Mecklenburg County,NC,415990,1145392
41,Montgomery County,MD,639350,1052521
42,Fulton County,GA,473241,1074634
43,Collin County,TX,510715,1158696
44,Pima County,AZ,351476,1057597
45,Honolulu County,HI,1026562,995638
46,Fresno County,CA,387703,1015190
47,Westchester County,NY,796762,990427
48,Duval County,FL,310939,1016536
49,Marion County,IN,221908,969466
50,Pinellas County,FL,429359,961739
51,Bergen County,NJ,677447,952997
52,Erie County,NY,256780,950312
53,Gwinnett County,GA,401879,975353
54,Milwaukee County,WI,251241,918661
55,DuPage County,IL,401249,920901
56,Shelby County,TN,215518,916371
57,Pierce County,WA,533228,927380
58,Kern County,CA,338371,916108
59,Denton County,TX,453831,977281
60,Macomb County,MI,255354,874195
61,San Francisco County,CA,1379344,808437
62,Hidalgo County,TX,180417,888367
63,El Paso County,TX,210502,868763
64,Middlesex County,NJ,511206,861418
65,Worcester County,MA,458597,862927
66,Essex County,NJ,599744,849477
67,Montgomery County,PA,448731,864683
68,Baltimore County,MD,339970,846161
69,Ventura County,CA,865037,832605
70,Hamilton County,OH,251271,825037
71,Snohomish County,WA,722981,840079
72,Multnomah County,OR,509115,795083
73,Fort Bend County,TX,377337,889146
74,Essex County,MA,689118,806765
75,Suffolk County,MA,716357,766381
76,Oklahoma County,OK,211063,802559
77,Jefferson County,KY,239484,773399
78,San Joaquin County,CA,528109,793229
79,Cobb County,GA,428845,771952
80,San Mateo County,CA,1642858,729181
81,Monroe County,NY,240312,752035
82,Lee County,FL,415358,822453
83,El Paso County,CO,450759,740567
84,Norfolk County,MA,721832,725531
85,Lake County,IL,344514,709150
86,Jackson County,MO,226162,716531
87,Polk County,FL,314644,787404
88,Hudson County,NJ,573504,703366
89,Davidson County,TN,438212,708144
90,Denver County,CO,600515,713252
91,Will County,IL,327351,696757
92,District of Columbia,DC,720085,671803
93,Bernalillo County,NM,324419,672508
94,Jefferson County,AL,208499,665409
95,Tulsa County,OK,229356,677358
96,Providence County,RI,397844,657288
97,Kent County,MI,305002,659083
98,Arapahoe County,CO,551106,655808
99,Utah County,UT,541453,702434
100,Bucks County,PA,469845,645054
101,Monmouth County,NJ,706196,644098
102,Ocean County,NJ,500429,655735
103,Montgomery County,TX,350022,678490
104,Johnson County,KS,410495,619195
105,Brevard County,FL,366111,630693
106,Washington County,OR,585044,600176
107,Williamson County,TX,434444,671418
108,Anne Arundel County,MD,479014,593286
109,Jefferson County,CO,627650,576143
110,Douglas County,NE,268685,586327
111,Bristol County,MA,492993,580068
112,Delaware County,PA,333830,575182
113,Union County,NJ,552499,569815
114,New Castle County,DE,338842,575494
115,Dane County,WI,427615,568203
116,Pasco County,FL,359323,608794
117,Stanislaus County,CA,451157,551275
118,Lancaster County,PA,334913,556629
119,Ramsey County,MN,326095,536413
120,Volusia County,FL,333898,579192
121,Summit County,OH,197131,535882
122,Guilford County,NC,264577,546101
123,Montgomery County,OH,178982,533892
124,Chester County,PA,517892,545823
125,Spokane County,WA,407036,549690
126,Plymouth County,MA,590712,533069
127,Camden County,NJ,309217,524907
128,Passaic County,NJ,513046,513936
129,Sedgwick County,KS,203179,525525
130,Greenville County,SC,311894,547950
131,Kane County,IL,334830,514182
132,Adams County,CO,493790,527575
133,Morris County,NJ,628034,511151
134,Clark County,WA,530736,516779
135,Lake County,IN,226722,499689
136,Richmond County,NY,667677,491133
137,Sonoma County,CA,816162,482650
138,Polk County,IA,267012,501089
139,Ada County,ID,496582,518907
140,Washoe County,NV,532154,496745
141,Prince William County,VA,538926,486943
142,Knox County,TN,347990,494574
143,Onondaga County,NY,227411,468249
144,Tulare County,CA,332755,477544
145,Seminole County,FL,422161,478772
146,Hampden County,MA,313182,461041
147,Burlington County,NJ,376372,466103
148,East Baton Rouge Parish,LA,226686,450544
149,York County,PA,272609,461058
150,Solano County,CA,584967,448747
151,Santa Barbara County,CA,1008643,443837
152,Jefferson Parish,LA,230673,425884
153,Monterey County,CA,820439,432858
154,Dakota County,MN,383091,443341
155,Lucas County,OH,152470,426643
156,Sarasota County,FL,465519,462286
157,Berks County,PA,274919,430449
158,Pinal County,AZ,374637,464154
159,Hillsborough County,NH,483356,426594
160,Cameron County,TX,169780,425208
161,Clackamas County,OR,610219,423177
162,Richland County,SC,243700,421566
163,Mobile County,AL,184430,411411
164,Loudoun County,VA,750226,432085
165,Genesee County,MI,170208,401983
166,Waukesha County,WI,443202,410434
167,Charleston County,SC,573715,419279
168,Placer County,CA,675506,417772
169,Orange County,NY,418446,405941
170,Pulaski County,AR,192163,399145
171,Manatee County,FL,489030,429125
172,Butler County,OH,285019,388420
173,Mercer County,NJ,400200,380688
174,Orleans Parish,LA,247721,369749
175,Madison County,AL,303004,403565
176,Allen County,IN,224741,391449
177,Forsyth County,NC,267757,389157
178,Lane County,OR,446747,382353
179,Osceola County,FL,386423,422545
180,Lake County,FL,365675,410139
181,Stark County,OH,188505,372657
182,Collier County,FL,722404,397994
183,Washtenaw County,MI,394118,366376
184,Lehigh County,PA,311107,376317
185,Marion County,FL,278983,396415
186,Brazoria County,TX,314929,388181
187,Bell County,TX,255477,388386
188,Hamilton County,TN,321857,374682
189,Anoka County,MN,349115,368864
190,Chesterfield County,VA,370348,378408
191,Davis County,UT,528966,369948
192,Westmoreland County,PA,186549,352057
193,Larimer County,CO,555039,366778
194,Nueces County,TX,215620,351674
195,Douglas County,CO,707287,375988
196,Galveston County,TX,319297,357117
197,Horry County,SC,345861,383101
198,Marion County,OR,426737,346703
199,Somerset County,NJ,636779,346875
200,Hamilton County,IN,434642,364921
201,Rockland County,NY,668948,339022
202,Rutherford County,TN,390759,360619
203,Cumberland County,NC,202368,336699
204,Henrico County,VA,358288,333962
205,Howard County,MD,608354,335411
206,Boulder County,CO,781768,327468
207,Luzerne County,PA,189262,326369
208,Spartanburg County,SC,256367,345831
209,Weld County,CO,486372,350176
210,Fayette County,KY,292603,320347
211,Lancaster County,NE,278115,324756
212,Durham County,NC,400315,332680
213,Escambia County,FL,263943,324878
214,Albany County,NY,314246,315811
215,Rockingham County,NH,583903,319424
216,Lorain County,OH,222312,316268
217,Northampton County,PA,316887,318526
218,McHenry County,IL,320793,311747
219,Lubbock County,TX,206576,317561
220,Cumberland County,ME,529656,307451
221,Gloucester County,NJ,339251,306601
222,Greene County,MO,234585,303293
223,Dutchess County,NY,435587,297545
224,Chatham County,GA,312467,301107
225,Clayton County,GA,246764,296564
226,Ottawa County,MI,348340,300873
227,Cleveland County,OK,238290,299587
228,Lexington County,SC,256425,304797
229,Leon County,FL,289415,297369
230,Thurston County,WA,497507,298758
231,Ingham County,MI,192964,284108
232,Winnebago County,IL,169856,282188
233,Dauphin County,PA,243598,288800
234,San Luis Obispo County,CA,891166,282013
235,Benton County,AR,341936,302863
236,Merced County,CA,397226,290014
237,York County,SC,371059,294248
238,Alachua County,FL,311494,284030
239,Atlantic County,NJ,358518,275638
240,Kitsap County,WA,542720,277673
241,Santa Cruz County,CA,1189794,264370
242,Erie County,PA,184020,267689
243,Frederick County,MD,475766,287079
244,Brown County,WI,300479,270036
245,Buncombe County,NC,450955,273589
246,Webb County,TX,205659,267780
247,Madison County,IL,171941,263864
248,Washington County,MN,425024,275912
249,Marin County,CA,1607064,256018
250,Cherokee County,GA,447102,281278
251,Kalamazoo County,MI,249573,261173
252,Weber County,UT,450868,269561
253,Harford County,MD,398749,263867
254,McLennan County,TX,257923,266836
255,Cumberland County,PA,307571,268579
256,Jefferson County,TX,149255,250830
257,Yakima County,WA,328763,257001
258,Clay County,MO,294281,257033
259,Forsyth County,GA,594320,267237
260,Washington County,AR,318305,256054
261,Williamson County,TN,859752,260815
262,Lafayette Parish,LA,229360,247866
263,Caddo Parish,LA,133782,229025
264,Warren County,OH,373842,249778
265,Henry County,GA,331470,248364
266,Union County,NC,425648,249070
267,Arlington County,VA,954127,234000
268,Saratoga County,NY,390762,238797
269,Hays County,TX,411866,269225
270,Sussex County,DE,459923,255956
271,Yavapai County,AZ,499470,246191
272,Lake County,OH,224314,231842
273,Oneida County,NY,199047,228846
274,Smith County,TX,267411,241922
275,Brazos County,TX,303246,242014
276,Hinds County,MS,108127,217730
277,Montgomery County,AL,147594,226361
278,Mahoning County,OH,144709,225636
279,Linn County,IA,226730,229033
280,Barnstable County,MA,736501,232457
281,Canyon County,ID,395750,251065
282,Baldwin County,AL,341332,246435
283,Gaston County,NC,284660,234215
284,Jefferson County,MO,252277,229336
285,New Hanover County,NC,417309,234921
286,Whatcom County,WA,608138,230677
287,Tuscaloosa County,AL,220944,236780
288,Berkeley County,SC,359126,245117
289,Jackson County,OR,422988,221644
290,Cabarrus County,NC,369724,235797
291,Shelby County,AL,340178,230115
292,Butte County,CA,394398,207303
293,Yolo County,CA,605575,222115
294,Clay County,FL,341387,226589
295,Montgomery County,TN,299874,235201
296,Lackawanna County,PA,199142,215615
297,Niagara County,NY,217499,210880
298,Calcasieu Parish,LA,184972,202418
299,Mohave County,AZ,357115,220816
300,Delaware County,OH,491180,226296
301,Johnston County,NC,336498,234778
302,York County,ME,495409,216732
303,Okaloosa County,FL,347208,216482
304,Washington County,PA,208454,210383
305,Clermont County,OH,297860,210805
306,Harrison County,MS,211059,211044
307,Champaign County,IL,202748,206542
308,Elkhart County,IN,234023,206890
309,Richmond County,GA,174102,206640
310,Benton County,WA,430553,212791
311,Muscogee County,GA,164408,202616
312,Yuma County,AZ,273321,207842
313,Anderson County,SC,265429,209581
314,Trumbull County,OH,142301,200643
315,Hall County,GA,369948,212692
316,Onslow County,NC,262470,207298
317,Hawaii County,HI,543867,206315
318,Broome County,NY,167299,197117
319,Racine County,WI,265187,195846
320,Sangamon County,IL,170558,194534
321,Deschutes County,OR,670403,206549
322,Minnehaha County,SD,305678,203971
323,Livingston County,MI,371430,196161
324,Sumner County,TN,417830,203858
325,Butler County,PA,297751,197300
326,Hernando County,FL,314768,206896
327,El Dorado County,CA,653582,192646
328,Saginaw County,MI,148783,188330
329,Outagamie County,WI,292699,192127
330,Sarpy County,NE,325966,196553
331,Ellis County,TX,352470,212182
332,Tippecanoe County,IN,259608,188717
333,Beaufort County,SC,552279,196371
334,Charlotte County,FL,370207,202661
335,Santa Rosa County,FL,345493,198268
336,Iredell County,NC,372968,195897
337,DeSoto County,MS,285706,191723
338,Cass County,ND,308755,192734
339,Peoria County,IL,132764,178383
340,Boone County,MO,293004,187690
341,Kanawha County,WV,137672,175515
342,Shasta County,CA,366785,180930
343,Ulster County,NY,390079,182319
344,Medina County,OH,313900,183512
345,Bay County,FL,329579,185134
346,Kent County,DE,337532,186946
347,Imperial County,CA,326982,178713
348,Vanderburgh County,IN,178106,179744
349,Shawnee County,KS,185471,177480
350,Licking County,OH,309571,181359
351,Johnson County,TX,320496,195506
352,Washington County,UT,526705,197680
353,Muskegon County,MI,216806,176565
354,Scott County,IA,221902,173924
355,Porter County,IN,308236,174791
356,Lee County,AL,306518,180773
